название,адрес,телефон
Подворье,"улица Седова, 10",
"Яблоко, ресторан-караоке","Партизанская улица, 28а/1",
"Kultura bar, рестобар","Декабрьских Событий, 57",
La premiere,"улица 5-й Армии, 67",
"Жадина говядина, гастропаб","Горная улица, 1",
"Жадина говядина, гастропаб","улица Седова, 20/1",
"Жадина говядина, гастропаб","бульвар Гагарина, 11",
"Kannam chicken, кафе доставки","улица Карла Либкнехта, 94",
"Territory Soprano Clan-Club, ресторан-клуб","Култукская улица, 99",
"Соседи, кафе","Красных Мадьяр, 14/2",
Такерия Cuatro Burros,"улица Урицкого, 4",
"Кокороко, бар","улица Седова, 6",
"Kannam chicken, кафе доставки","улица Лермонтова, 275/17",
"Панини, кафе","улица Кожова, 17",
"Ок-Сарой, чайхана","улица Дзержинского, 42",
"Ком-Вьет, вьетнамское кафе","Донская улица, 15",
"Кружаль, бар","3 Июля, 1а",
"Пицца hot, сеть пиццерий","Дальневосточная улица, 106",
"Пицца hot, сеть пиццерий","улица Ржанова, 164Б/1",
"Пицца hot, сеть пиццерий","Академическая улица, 26",
"Пицца hot, сеть пиццерий","проезд Юрия Тена, 26/2",
"Пицца hot, сеть пиццерий","Депутатская улица, 63/1",
"Фокс Pizza, ресторан доставки","улица Ленина, 7",
"Пицца hot, сеть пиццерий","улица Баумана, 214/1",
"Фокс Pizza, ресторан доставки","улица Безбокова, 8",
"Rikko pizza, пиццерия","улица Пушкина, 9",
"Фокс Pizza, ресторан доставки","Авиастроителей, 14",
"Пицца hot, сеть пиццерий","улица Франк-Каменецкого, 13/1",
"Фокс Pizza, ресторан доставки","улица Баумана, 216/3",
"Пицца hot, сеть пиццерий","2-я Железнодорожная улица, 70",
"Фокс Pizza, ресторан доставки","Советская улица, 170/1",
"Фокс Pizza, ресторан доставки","улица Доржи Банзарова, 23а",
"Фокс Pizza, ресторан доставки","Красноказачья, 84",
"Фокс Pizza, ресторан доставки","улица Лермонтова, 86",
"Фокс Pizza, ресторан доставки","проезд Юрия Тена, 26/5",
"Фокс Pizza, ресторан доставки","6-я Советская улица, 18а к2",
"Фокс Pizza, ресторан доставки","улица Фридриха Энгельса, 34",
"Фокс Pizza, ресторан доставки","улица Вампилова, 20",
"Пицца Домино, кафе","улица Безбокова, 10",
"Rikko pizza, пиццерия","Красноказачья, 84",
"Фокс Pizza, ресторан доставки","улица Розы Люксембург, 215в",
"Папа Джонс, служба доставки","улица Ширямова, 10/4",
"Cheese Pizza, пиццерия","Цимлянская улица, 3а/1",
"Сафари, столовая","улица Маяковского, 15",
"Дядя Ваня, кафе китайской кухни","Партизанская улица, 16",
"Порция, столовая","Декабрьских Событий, 92а",
"Матрёшка, столовая","Берёзовая Роща, ст5",
"Марио, столовая","Байкальская улица, 126/4",
"У Ангары, столовая","Нижняя набережная, 14/1",
"Амритта, столовая","улица Поленова, 37",
"Лидия, буузная","улица Муравьёва, 17",
"Сафари38, столовая","Пролетарская улица, 8",
"Столоffка 24, кафе-столовая","Байкальская улица, 263",
"Порция, столовая","улица Станиславского, 2/1",
"Голд, столовая","улица Дзержинского, 29",
"Матрёшка, столовая","улица Розы Люксембург, 200/4",
"Порция, столовая","улица Терешковой, 36",
"Ган Фан, китайская столовая","улица Лермонтова, 102",
"Сытый Дядя, кафе быстрого питания","Юбилейный микрорайон, 56",
"Сытый Дядя, кафе быстрого питания","3 Июля, 5а",
"Папа любит мясо, бургерная","Байкальская улица, 23/3",
"Шашлык с фермы, кафе","Юбилейный микрорайон, 14",
"Позы на Байкальской, кафе","Байкальская улица, 203/1а",
"Сытый Дядя, кафе быстрого питания","улица Лермонтова, 86",
"Kokos burger, кафе","улица Ширямова, 2в",
"Бурум, бистро","улица Рабочего Штаба, 62Б",
"Сытый Дядя, кафе быстрого питания","Декабрьских Событий, 85",
"Kannam chicken, кафе доставки","проспект Маршала Жукова, 36/5",
