название,адрес,телефон,instagram,vk
"Телец, ресторан китайской кухни","улица Карла Маркса, 15а",+79648181818,,
"Авеню, ресторан","улица Ширямова, 10а",+73952705070,,
"Пекин, ресторан китайской кухни","улица Кузнецовой, 11",+79397941232,,
"Академия Караоке, ресторан","улица Ширямова, 32/1",+73952901000,,https://vk.com/akademiyakaraoke
"Академия Караоке, ресторан","улица Карла Маркса, 34",+73952901000,,
"Fuller`s, ресторан","бульвар Гагарина, 38",+73952500026,,
"Kultura bar, рестобар","Декабрьских Событий, 57",+79501255547,,https://vk.com/kultura_irk
Скай Лаундж Иркутск,"улица Ширямова, 10Б",+73952706130,,https://vk.com/skyloungeirk
"Лаваль, кафе","Байкальская улица, 87",+79140001171,,
"Кави, гранд-бистро","Советская улица, 130",+73952484884,,
"Grot Первомайский, бар-рестран","Первомайский микрорайон, 14а",+73952485905,,
"Алаверды, ресторан грузинской кухни","бульвар Гагарина, 9",+79643503064,,
"Пельмения, ресторан моно-кухни","Рабочая улица, 2а/4",+73952718718,,https://vk.com/pelmenya_irk
"Вечернее, ресторан","улица Розы Люксембург, 1а",+73952729201,,
"Великая стена, ресторан","Университетский микрорайон, 2Б",+79041101113,,
"Ной, ресторан, банкетный зал","Тополиная улица, 2",+79249981007,,https://vk.com/ovo007
"Остров, ресторан","остров Юность, 6",+79641003344,,
"А`Соль, банкетный зал","улица Доржи Банзарова, 23Б",+79245448488,,
"Топчик, рестобар","Каспийский переулок, 1/1",+79242941089,,
"Бинарио, семейный итальянский ресторан","Красного Восстания, 20",,,
"Красная стена, ресторан","улица Глеба Успенского, 1",+73952742345,,
"Turki, ресторан","Култукская улица, 99",+79643599799,,
"Бабао, ресторан китайской кухни","Култукский тракт, 36а",+79025148266,,
"Джайхун, ресторан","переулок Пушкина, 1Б",+79501465399,,
"Феличита, ресторан","Колхозная улица, 145/1",+79500588854,,
"Чайна-таун, ресторан китайской кухни","Колхозная улица, 204а",+79086694267,,
"У Бахи, ресторан","Каштановая улица, 49",,,
Позная на сквере,"Сухэ-Батора, 7",+79500644488,,https://vk.com/club227729575
"Панини, кафе","улица Кожова, 17",+79016631683,,
"Номад, этно-кафе","Советская улица, 58 к2",+79149150009,,
"Номад, этно-кафе","улица Сергеева, 3/2г",+79246100065,,
Урагшаа,"Декабрьских Событий, 107а",+73952497797,,https://vk.com/uragshaa_38
Урагшаа,"Старо-Кузьмихинская улица, 48/1",+73952497797,,https://vk.com/uragshaa_38
"Шашлык и Плов, кафе","улица Кузнецовой, 14/3",+79027635585,,
"Вместе, семейное кафе","проспект Маршала Жукова, 36/5",+79246078288,,https://vk.com/vmeste.cafe38
Позная №1,"Трактовая улица, 5/2",+79016323266,,
"Лавву, кафе","6-й квартал, 38",+79500994001,,
"Шашлык-city, кафе","Култукский тракт, 1Б/2",+73952455252,,
"Кебаб-тайм, кафе","Юбилейный микрорайон, 35а",+73952460013,,
"Carolina, кафе","улица Ленина, 42",+73952727372,,
Поперчилли,"Академическая улица, 31",+73952434334,,https://vk.com/poperchilli38
"Territory Soprano Clan-Club, ресторан-клуб","Култукская улица, 99",+79643599799,,https://vk.com/territory_soprano
"Позы в аэропорту, кафе","улица Ширямова, 2/4Б",+73952600409,,
"Green bar, кафе-бильярдная","Зелёный микрорайон, 150/1",+79642822333,,
"Золотой шампур, кафе","Дорожная улица, 7/1",+73952915315,,
"Любимое, кафе","1-я Московская улица, 1а",+79246044515,,
"Прага, кафе","Култукский тракт, 1а",+79500830409,,
"Алтан Хаан, этно-кафе и банкетный зал","Сосновая улица, 7/1",+79501179953,,
"Мираж, кафе","Промышленная улица, 8",+79242905010,,
"Чжао Синь, кафе китайской кухни","улица Сурнова, 58а",+79526375659,,
"Даши, позная","улица Розы Люксембург, 131",+79041135959,,
"Запеканка, кафе-столовая","Ракитная улица, 18 к4",+79842746575,,
